Date,Time,Total_trips_from_LGA,Total_trips_to_LGA,5min_saved_time_pickup,5min_saved_rides_pickup,5min_saved_time_dropoff,5min_saved_rides_dropoff,5min_av_per_saved_time_pickup,5min_av_per_saved_rides_pickup,5min_av_per_saved_time_dropoff,5min_av_per_saved_rides_dropoff,5min_av_computation_time_pickup,5min_av_computation_time_dropoff,10min_saved_time_pickup,10min_saved_rides_pickup,10min_saved_time_dropoff,10min_saved_rides_dropoff,10min_av_per_saved_time_pickup,10min_av_per_saved_rides_pickup,10min_av_per_saved_time_dropoff,10min_av_per_saved_rides_dropoff,10min_av_computation_time_pickup,10min_av_computation_time_dropoff
2016-03-30,00:00:00,9885,4373,32558.0000,3173,14409.0000,1376,0.2919,0.3210,0.2979,0.3147,0.0158,0.0078,37837.0000,3668,16788.0000,1593,0.3392,0.3711,0.3471,0.3643,0.0389,0.0143
2016-03-31,00:00:00,10185,5276,33317.0000,3295,18031.0000,1696,0.2898,0.3235,0.3035,0.3215,0.0162,0.0091,38714.0000,3806,21275.0000,1977,0.3368,0.3737,0.3582,0.3747,0.0424,0.0176
2016-04-01,00:00:00,8596,5580,25996.0000,2602,18771.0000,1773,0.2706,0.3027,0.3024,0.3177,0.0140,0.0091,30698.0000,3049,22176.0000,2090,0.3196,0.3547,0.3572,0.3746,0.0328,0.0179
2016-04-02,00:00:00,5169,2581,12900.0000,1317,6275.0000,621,0.2221,0.2548,0.2215,0.2406,0.0097,0.0062,16378.0000,1640,8193.0000,804,0.2820,0.3173,0.2892,0.3115,0.0171,0.0089
2016-04-03,00:00:00,9462,4330,29655.0000,2966,12583.0000,1230,0.2780,0.3135,0.2671,0.2841,0.0198,0.0079,34735.0000,3446,15215.0000,1485,0.3257,0.3642,0.3229,0.3430,0.0442,0.0136
2016-04-04,00:00:00,12164,3971,42132.0000,4116,11284.0000,1108,0.3059,0.3384,0.2609,0.2790,0.0202,0.0074,48236.0000,4675,13999.0000,1361,0.3502,0.3843,0.3237,0.3427,0.0638,0.0134
2016-04-05,00:00:00,10422,4016,35712.0000,3463,12781.0000,1209,0.3032,0.3323,0.2862,0.3010,0.0178,0.0075,40836.0000,3941,15215.0000,1435,0.3467,0.3781,0.3408,0.3573,0.0456,0.0130
2016-04-06,00:00:00,9778,5060,33331.0000,3219,17452.0000,1642,0.3001,0.3292,0.3091,0.3245,0.0158,0.0090,38365.0000,3688,20308.0000,1896,0.3455,0.3772,0.3597,0.3747,0.0484,0.0183
2016-04-07,00:00:00,9712,5708,32243.0000,3165,19772.0000,1858,0.2958,0.3259,0.3111,0.3255,0.0184,0.0098,37212.0000,3625,23179.0000,2174,0.3414,0.3732,0.3647,0.3809,0.0408,0.0186
2016-04-08,00:00:00,10266,6104,32289.0000,3205,21613.0000,2026,0.2799,0.3122,0.3169,0.3319,0.0164,0.0101,38224.0000,3764,24711.0000,2321,0.3313,0.3666,0.3623,0.3802,0.0408,0.0206
2016-04-09,00:00:00,4832,2336,11523.0000,1196,5395.0000,534,0.2126,0.2475,0.2122,0.2286,0.0092,0.0060,14505.0000,1484,7148.0000,701,0.2676,0.3071,0.2812,0.3001,0.0163,0.0085
2016-04-10,00:00:00,10414,4866,34326.0000,3388,15514.0000,1500,0.2921,0.3253,0.2907,0.3083,0.0176,0.0085,40023.0000,3935,18363.0000,1767,0.3405,0.3779,0.3440,0.3631,0.0506,0.0152
